key,F001,F010_str,F245,normalized_title,normalized_edition,normalized_pub,source,match_key,F007_str,F020_str,F250_str,F260_str,id_list_str,key_array_str,F007_code,F007_desc,borrowdir_id
812078698X paperback,9963538603503681,,Hazrat Babajan : a Pathan Sufi of Poona / Kevin R.D. Shepherd.,hazrat babajan a pathan sufi of poona kevin rd shepherd,,,penn,hazrat babajan a pathan sufi of poona kevin rd shepherd,ta,9788120786981 paperback; 812078698X paperback,,,9788120786981 paperback; 812078698X paperback,9788120786981 paperback; 812078698X paperback,t,Text,['eb7e7ee0-e546-43f4-a928-1fd05b79cd94']
2016333587,9977255987103681,2016333587,Ho bhāshā aura sāhitya kā itihāsa / Ḍô. Āditya Prasāda Sinhā = Ho bhasha aur sahitya ka itihas / by Dr. Aditya Prasad Sinha.,ho bhāshā aura sāhitya kā itihāsa / ḍô. āditya prasāda sinhā = ho bhasha aur sahitya ka itihas / by dr. aditya prasad sinha.,tr̥tīya saṃskaraṇa.,,penn,ho bhāshā aura sāhitya kā itihāsa / ḍô. āditya prasāda sinhā = ho bhasha aur sahitya ka itihas / by dr. aditya prasad sinha._tr̥tīya saṃskaraṇa.,ta,9789380821818; 9380821816,Tr̥tīya saṃskaraṇa.,,2016333587; 9789380821818; 9380821816,2016333587; 9789380821818; 9380821816,t,Text,['0db9685e-bb83-4666-ae78-1e5926df7853']
9788183703598,9960346483503681,2013334336,Lectures in applied history / J.B. Bhattacharjee.,lectures in applied history jb bhattacharjee,,,penn,lectures in applied history jb bhattacharjee,ta,9788183703598; 8183703593,,,2013334336; 9788183703598; 8183703593,2013334336; 9788183703598; 8183703593,t,Text,['06eeda2e-9405-4bf3-8909-f2a5b8193e40']
9780735278196,9977532080403681,,Machines like me : and people like you / Ian McEwan.,machines like me and people like you ian mcewan,,,penn,machines like me and people like you ian mcewan,ta,9780735278196; 0735278199,,,9780735278196; 0735278199,9780735278196; 0735278199,t,Text,"['3e364163-93ef-47c8-b5e4-6a47ee334d06', '806058d4-f45e-407e-bd5c-071e7feb48b5', '76bd28a1-8f24-4345-b368-c1a9ef75426e', 'fcccf18d-75f2-457c-b41d-4dea419ceb22', '6639c83e-5e93-456e-afa8-9c20c6780275', 'e927d65f-60b3-428b-9294-274d8db1a2bc', '79ade5fc-4c7a-4ec7-9f6e-394dd8305801', '59e75484-ace2-431c-907c-b575f4edcbe4', 'cedf1097-83a3-49c0-857b-90a8b3a7149a']"
2014355894,9962260403503681,2014355894,"New Cultural Histories of India : Materiality and Practices / edited by Partha Chatterjee, Tapati Guha-Thakurta, Bodhisattva Kar.",new cultural histories of india materiality and practices edited by partha chatterjee tapati guhathakurta bodhisattva kar,,,penn,new cultural histories of india materiality and practices edited by partha chatterjee tapati guhathakurta bodhisattva kar,ta,9780198090373; 0198090374,,,2014355894; 9780198090373; 0198090374,2014355894; 9780198090373; 0198090374,t,Text,[]
painted words kangra paintings of matirams rasraj harsha v dehejia vijay sharma,9977507542003681,,"Painted words : Kangra paintings of Matiram's Rasraj / Harsha V. Dehejia, Vijay Sharma.",painted words kangra paintings of matirams rasraj harsha v dehejia vijay sharma,,,penn,painted words kangra paintings of matirams rasraj harsha v dehejia vijay sharma,ta,,,,,painted words kangra paintings of matirams rasraj harsha v dehejia vijay sharma,t,Text,['d85eeca3-ff42-426c-8660-98896f1cedaf']
2014357076,9962811493503681,2014357076,Revisiting land acquisition and urban process / A.K. Jain ; foreword by Suresh P. Prabhu.,revisiting land acquisition and urban process ak jain foreword by suresh p prabhu,,,penn,revisiting land acquisition and urban process ak jain foreword by suresh p prabhu,ta,9789350183847; 9350183846,,,2014357076; 9789350183847; 9350183846,2014357076; 9789350183847; 9350183846,t,Text,['ddce6728-1163-4106-9fdd-600e3c6bb7e9']
9788187374800,9962200363503681,,"State and society in South Asia : themes of assertion and recognition / edited by Alexander Fischer, Clemens Spiess.",state and society in south asia themes of assertion and recognition edited by alexander fischer clemens spiess,,,penn,state and society in south asia themes of assertion and recognition edited by alexander fischer clemens spiess,ta,9788187374800,,,9788187374800,9788187374800,t,Text,['0c9c6b78-3a3f-4b89-ab7f-a2dbdd920054']
9994576208,9963857833503681,2013439665,The native pass tokens of German South West Africa / Gordon Mcregor.,the native pass tokens of german south west africa gordon mcregor,second edition,,penn,the native pass tokens of german south west africa gordon mcregor_second edition,tu,9789994576203; 9994576208,Second edition.,,2013439665; 9789994576203; 9994576208,2013439665; 9789994576203; 9994576208,t,Text,['d3da8638-2d0d-4364-b5b8-887cd9f7319d']
2013310900,9977813325903681,2013310900,The philosophical and practical aspects of Kāśmīra Śaivism : a study of Trika thought and practice / Moti Lal Pandit.,the philosophical and practical aspects of kasmira saivism a study of trika thought and practice moti lal pandit,,,penn,the philosophical and practical aspects of kasmira saivism a study of trika thought and practice moti lal pandit,ta,9788121512329; 8121512328,,,2013310900; 9788121512329; 8121512328,2013310900; 9788121512329; 8121512328,t,Text,['de55c4ed-d7ac-4b19-9c7b-bf3d42921762']
9789460043345,9977500737203681,,"The state of the  delta : engineering, urban development and nation building in the Netherlands / Han Meyer ; with maps by Teake Bouma.",the state of the delta engineering urban development and nation building in the netherlands han meyer with maps by teake bouma,,,penn,the state of the delta engineering urban development and nation building in the netherlands han meyer with maps by teake bouma,ta,9460043348; 9789460043345,,,9460043348; 9789460043345,9460043348; 9789460043345,t,Text,['eadbd5ff-46c1-44be-abf7-4a6c39ba6c49']
9789382364153 paperback,9961058063503681,,Vāsūnākā / Bhāū Pādhye.,vāsūnākā / bhāū pādhye.,6. āvr̥ttī.,,penn,vāsūnākā / bhāū pādhye._6. āvr̥ttī.,ta,9789382364153 paperback; 9382364153 paperback,6. āvr̥ttī.,,9789382364153 paperback; 9382364153 paperback,9789382364153 paperback; 9382364153 paperback,t,Text,['b9c21d38-f0d0-4f09-9ff6-5a8caf369b2a']
62066391,992368773503681,62066391,Verzeichnis der orientalischen Handschriften in Deutschland.,verzeichnis der orientalischen handschriften in deutschland.,,wiesbaden : f. steiner.,penn,verzeichnis der orientalischen handschriften in deutschland._wiesbaden : f. steiner.,ta,,,Wiesbaden : F. Steiner.,62066391,62066391,t,Text,"['d359c687-0501-4852-90db-fe4976e84995', 'e72ba3eb-cd02-47b6-a494-f9570b0f7bea', '7b44353f-ff2c-4cdf-a2db-b6ceadd045d7', '798ac474-5cbf-4092-87e2-06db518989d0', 'd16ead36-61f5-4c5f-b1f8-1f11007f023c', '6943821a-def0-4f44-88d0-a86ef3b2ae53', '38e4eaa6-4ea4-4125-828e-7e09abfb501c', 'a27d8caa-7c2c-45b5-8d37-ae16bc909e5a', '70e67f8a-a010-45c0-8233-3f573336e6b7', '881f13c3-e078-4314-8f0c-e01474105899', '9fd2667a-b65e-4917-9eec-5c7edc8802d5', '9dd349b2-e398-4d69-8355-b19ddf5237ab', '6fcb9f2c-7067-4eee-afd2-12c82460b6f1', '2c898609-c6f3-4fc9-914d-179a1980d3ea', '4f49faa7-1ff2-49fc-b311-e0b9f56f3633', '762712b6-ea33-40e3-9b52-170f71ea4220', '380b926f-94b9-4981-8ab5-80fc91975cce', 'fe0acf16-7060-4354-8e08-b9a4efd28d0f', 'fb8dab20-a1ae-48bf-be61-5d73fea26670', 'c4d66788-1bb2-4e95-826f-4d8598a470a7']"
2010329974,9977862816603681,2010329974,880-01 Kāvyatattvālokaḥ / Sujñānakumāramāhāntiḥ.,880-01 kāvyatattvālokaḥ / sujñānakumāramāhāntiḥ.,,,penn,880-01 kāvyatattvālokaḥ / sujñānakumāramāhāntiḥ.,ta,(hbd.),,,2010329974; (hbd.),2010329974; (hbd.),t,Text,['7b4ea48a-edf2-42e8-8426-5d5ca04d7775']
9788188178780,9977786042703681,,880-01 Mahātmā Śekha Sādī / Premacanda.,880-01 mahātmā śekha sādī / premacanda.,,,penn,880-01 mahātmā śekha sādī / premacanda.,ta,9788188178780,,,9788188178780,9788188178780,t,Text,['76087e77-5372-4f2d-aa51-c1342a9b7b8e']
(paperback),9978011737003681,,880-01 Pāṭhamorā / Nārāyaṇa Dhārapa.,880-01 pāṭhamorā / nārāyaṇa dhārapa.,,,penn,880-01 pāṭhamorā / nārāyaṇa dhārapa.,ta,(paperback),,,(paperback),(paperback),t,Text,['275216bb-0a7c-4584-9161-8aed48a3174a']
880-02 maḥram / fauziyah bhaṭṭī.,9965014103503681,,880-02 Maḥram / Fauziyah Bhaṭṭī.,880-02 maḥram / fauziyah bhaṭṭī.,,,penn,880-02 maḥram / fauziyah bhaṭṭī.,ta,,,,,880-02 maḥram / fauziyah bhaṭṭī.,t,Text,['edf827ee-e9a8-4f69-a9e4-5ac1b7c78b4d']
1927145953 paperback,9977262549503681,,Black flu 1918 : the story of New Zealand's worst public health disaster / Geoffrey W. Rice.,black flu 1918 the story of new zealands worst public health disaster geoffrey w rice,,,penn,black flu 1918 the story of new zealands worst public health disaster geoffrey w rice,ta,9781927145951; 1927145953 paperback,,,9781927145951; 1927145953 paperback,9781927145951; 1927145953 paperback,t,Text,['d85edb91-c028-46e0-83b9-3e3737f52882']
2012353774,9958171613503681,2012353774,"Dates.sites : project cinema city Bombay/Mumbai / a Majlis project, project editors, Madhusree Dutta, Kaushik Bhaumik, Rohan Shivkumar.",datessites project cinema city bombaymumbai a majlis project project editors madhusree dutta kaushik bhaumik rohan shivkumar,,,penn,datessites project cinema city bombaymumbai a majlis project project editors madhusree dutta kaushik bhaumik rohan shivkumar,ta,9788189487997 paperback; 818948799X paperback,,,2012353774; 9788189487997 paperback; 818948799X paperback,2012353774; 9788189487997 paperback; 818948799X paperback,t,Text,[]
9788183244725,9963857993503681,2013413768,Dictionary of Nagamese language : Nagamese-English-Assamese / Bhim Kanta Boruah.,dictionary of nagamese language nagameseenglishassamese bhim kanta boruah,,,penn,dictionary of nagamese language nagameseenglishassamese bhim kanta boruah,ta,9788183244725; 8183244726,,,2013413768; 9788183244725; 8183244726,2013413768; 9788183244725; 8183244726,t,Text,[]
8416187932 (paperback),9977990531303681,2018484207,El mito de don Juan en la ópera Don Giovanni de Mozart / David Rodríguez Rivada.,el mito de don juan en la ópera don giovanni de mozart / david rodríguez rivada.,,,penn,el mito de don juan en la ópera don giovanni de mozart / david rodríguez rivada.,tu,9788416187935 (paperback); 8416187932 (paperback),,,2018484207; 9788416187935 (paperback); 8416187932 (paperback),2018484207; 9788416187935 (paperback); 8416187932 (paperback),t,Text,"['589c71fd-bc31-4b96-ab58-fbb2d25f9270', '05dfe33d-2a2c-4d41-a216-4e6c5d9050f5']"
